[01-Apr-2025 22:47:43 UTC] PHP Warning:  Undefined variable $parent_theme_name in /workspaces/Assignment4/.wordpress/wp-content/mu-plugins/one-click-child-theme/templates/create_child_form.php on line 18
[01-Apr-2025 23:06:40 UTC] PHP Warning:  Attempt to read property "ID" on null in /workspaces/Assignment4/.wordpress/wp-includes/rest-api/endpoints/class-wp-rest-autosaves-controller.php on line 167
[01-Apr-2025 23:06:40 UTC] PHP Warning:  Attempt to read property "ID" on null in /workspaces/Assignment4/.wordpress/wp-includes/rest-api/endpoints/class-wp-rest-autosaves-controller.php on line 167
[02-Apr-2025 01:28:03 UTC] PHP Fatal error:  Out of memory (allocated 33554432) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:04 UTC] PHP Fatal error:  Out of memory (allocated 31457280) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:04 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:05 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:05 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:05 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:05 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:12 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[02-Apr-2025 01:28:12 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 32768 bytes) in /workspaces/Assignment4/.wordpress/wp-includes/PHPMailer/PHPMailer.php on line 1082
[02-Apr-2025 01:28:18 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[02-Apr-2025 01:28:18 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 31
[02-Apr-2025 01:28:19 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[02-Apr-2025 01:28:19 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[02-Apr-2025 01:28:20 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[02-Apr-2025 01:28:20 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-settings.php on line 12
[02-Apr-2025 01:28:20 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 144
[02-Apr-2025 01:28:22 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 144
[02-Apr-2025 01:28:28 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:28 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:28 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:29 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:29 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:29 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
[02-Apr-2025 01:28:29 UTC] PHP Fatal error:  Out of memory (allocated 29360128) (tried to allocate 2097152 bytes) in /workspaces/Assignment4/.wordpress/wp-content/plugins/ecommerce-product-catalog/modules/price/price-meta.php on line 122
